year,ctryname
1997,"Congo (Brazzaville, Republic of Congo)"
1998,"Congo (Brazzaville, Republic of Congo)"
1999,"Congo (Brazzaville, Republic of Congo)"
2002,"Congo (Brazzaville, Republic of Congo)"
1948,Costa Rica
1992,Croatia
1993,Croatia
1995,Croatia
1953,Cuba
1956,Cuba
1957,Cuba
1958,Cuba
1961,Cuba
1955,Cyprus
1956,Cyprus
1957,Cyprus
1958,Cyprus
1959,Cyprus
1974,Cyprus
1991,Djibouti
1992,Djibouti
1993,Djibouti
1994,Djibouti
1999,Djibouti
2008,Djibouti
1965,Dominican Republic
1960,"DR Congo (Brazzaville, Republic of Congo) (Zaire)"
1961,"DR Congo (Brazzaville, Republic of Congo) (Zaire)"
1962,"DR Congo (Brazzaville, Republic of Congo) (Zaire)"
1964,"DR Congo (Brazzaville, Republic of Congo) (Zaire)"
1965,"DR Congo (Brazzaville, Republic of Congo) (Zaire)"
1967,"DR Congo (Brazzaville, Republic of Congo) (Zaire)"
1977,"DR Congo (Brazzaville, Republic of Congo) (Zaire)"
1978,"DR Congo (Brazzaville, Republic of Congo) (Zaire)"
1996,"DR Congo (Brazzaville, Republic of Congo) (Zaire)"
1997,"DR Congo (Brazzaville, Republic of Congo) (Zaire)"
1998,"DR Congo (Brazzaville, Republic of Congo) (Zaire)"
1999,"DR Congo (Brazzaville, Republic of Congo) (Zaire)"
2000,"DR Congo (Brazzaville, Republic of Congo) (Zaire)"
2001,"DR Congo (Brazzaville, Republic of Congo) (Zaire)"
2006,"DR Congo (Brazzaville, Republic of Congo) (Zaire)"
2007,"DR Congo (Brazzaville, Republic of Congo) (Zaire)"
2008,"DR Congo (Brazzaville, Republic of Congo) (Zaire)"
2012,"DR Congo (Brazzaville, Republic of Congo) (Zaire)"
2013,"DR Congo (Brazzaville, Republic of Congo) (Zaire)"
1995,Ecuador
1948,Egypt
1949,Egypt
1951,Egypt
1952,Egypt
1956,Egypt
1967,Egypt
1969,Egypt
1970,Egypt
1973,Egypt
1993,Egypt
1994,Egypt
1995,Egypt
1996,Egypt
1997,Egypt
1998,Egypt
1969,El Salvador
1972,El Salvador
1979,El Salvador
1980,El Salvador
1981,El Salvador
1982,El Salvador
1983,El Salvador
1984,El Salvador
1985,El Salvador
1986,El Salvador
1987,El Salvador
1988,El Salvador
1989,El Salvador
1990,El Salvador
1991,El Salvador
1997,Eritrea
1999,Eritrea
2003,Eritrea
2008,Eritrea
1960,Ethiopia
1964,Ethiopia
1965,Ethiopia
1966,Ethiopia
1967,Ethiopia
1968,Ethiopia
1969,Ethiopia
1970,Ethiopia
1971,Ethiopia
1972,Ethiopia
1973,Ethiopia
1974,Ethiopia
1975,Ethiopia
1976,Ethiopia
1977,Ethiopia
1978,Ethiopia
1979,Ethiopia
1980,Ethiopia
1981,Ethiopia
1982,Ethiopia
1983,Ethiopia
1984,Ethiopia
1985,Ethiopia
1986,Ethiopia
1987,Ethiopia
1988,Ethiopia
1989,Ethiopia
1990,Ethiopia
1991,Ethiopia
1992,Ethiopia
1993,Ethiopia
1994,Ethiopia
1995,Ethiopia
1996,Ethiopia
1998,Ethiopia
1999,Ethiopia
2000,Ethiopia
2001,Ethiopia
2002,Ethiopia
2003,Ethiopia
2004,Ethiopia
2005,Ethiopia
2006,Ethiopia
2007,Ethiopia
2008,Ethiopia
2009,Ethiopia
2010,Ethiopia
2011,Ethiopia
2012,Ethiopia
2013,Ethiopia
1946,France
1956,France
1961,France
1962,France
2001,FYR
1964,Gabon
1981,Gambia
1991,Georgia
1992,Georgia
1993,Georgia
2004,Georgia
2008,Georgia
1966,Ghana
1981,Ghana
1983,Ghana
1946,Greece
1947,Greece
1948,Greece
1949,Greece
1983,Grenada
1949,Guatemala
1954,Guatemala
1963,Guatemala
1965,Guatemala
1966,Guatemala
1967,Guatemala
1968,Guatemala
1969,Guatemala
1970,Guatemala
1971,Guatemala
1972,Guatemala
1973,Guatemala
1974,Guatemala
1975,Guatemala
1976,Guatemala
1977,Guatemala
1978,Guatemala
1979,Guatemala
1980,Guatemala
1981,Guatemala
1982,Guatemala
1983,Guatemala
1984,Guatemala
1985,Guatemala
1986,Guatemala
1987,Guatemala
1988,Guatemala
1989,Guatemala
1990,Guatemala
1991,Guatemala
1992,Guatemala
1993,Guatemala
1994,Guatemala
1995,Guatemala
2000,Guinea
2001,Guinea
1963,Guinea-Bissau
1964,Guinea-Bissau
1965,Guinea-Bissau
1966,Guinea-Bissau
1967,Guinea-Bissau
1968,Guinea-Bissau
1969,Guinea-Bissau
1970,Guinea-Bissau
1971,Guinea-Bissau
1972,Guinea-Bissau
1973,Guinea-Bissau
1998,Guinea-Bissau
1999,Guinea-Bissau
1989,Haiti
1991,Haiti
2004,Haiti
1957,Honduras
1969,Honduras
1956,Hungary
1947,Hyderabadh
1948,Hyderabadh
1948,India
1949,India
1950,India
1951,India
1956,India
1957,India
1958,India
1959,India
1961,India
1962,India
1963,India
1964,India
1965,India
1966,India
1967,India
1968,India
1969,India
1970,India
1971,India
1979,India
1980,India
1981,India
1982,India
1983,India
1984,India
1985,India
1986,India
1987,India
1988,India
1989,India
1990,India
1991,India
1992,India
1993,India
1994,India
1995,India
1996,India
1997,India
1998,India
1999,India
2000,India
2001,India
2002,India
2003,India
2004,India
2005,India
2006,India
2007,India
2008,India
2009,India
2010,India
2011,India
2012,India
2013,India
1946,Indonesia
1947,Indonesia
1948,Indonesia
1949,Indonesia
1950,Indonesia
1953,Indonesia
1958,Indonesia
1959,Indonesia
1960,Indonesia
1961,Indonesia
1962,Indonesia
1963,Indonesia
1964,Indonesia
1965,Indonesia
1966,Indonesia
1967,Indonesia
1968,Indonesia
1969,Indonesia
1975,Indonesia
1976,Indonesia
1977,Indonesia
1978,Indonesia
1979,Indonesia
1980,Indonesia
1981,Indonesia
1982,Indonesia
1983,Indonesia
1984,Indonesia
1985,Indonesia
1986,Indonesia
1987,Indonesia
1988,Indonesia
1989,Indonesia
1990,Indonesia
1991,Indonesia
1992,Indonesia
1997,Indonesia
1998,Indonesia
1999,Indonesia
2000,Indonesia
2001,Indonesia
2002,Indonesia
2003,Indonesia
2004,Indonesia
2005,Indonesia
1946,Iran
1966,Iran
1967,Iran
1968,Iran
1979,Iran
1980,Iran
1981,Iran
1982,Iran
1983,Iran
1984,Iran
1985,Iran
1986,Iran
1987,Iran
1988,Iran
1990,Iran
1991,Iran
1992,Iran
1993,Iran
1996,Iran
1997,Iran
1999,Iran
2000,Iran
2001,Iran
2005,Iran
2006,Iran
2007,Iran
2008,Iran
2009,Iran
2010,Iran
2011,Iran
1948,Iraq
1949,Iraq
1958,Iraq
1959,Iraq
1961,Iraq
1962,Iraq
1963,Iraq
1964,Iraq
1965,Iraq
1966,Iraq
1967,Iraq
1968,Iraq
1969,Iraq
1970,Iraq
1973,Iraq
1974,Iraq
1975,Iraq
1976,Iraq
1977,Iraq
1978,Iraq
1979,Iraq
1980,Iraq
1981,Iraq
1982,Iraq
1983,Iraq
1984,Iraq
1985,Iraq
1986,Iraq
1987,Iraq
1988,Iraq
1989,Iraq
1990,Iraq
1991,Iraq
1992,Iraq
1993,Iraq
1994,Iraq
1995,Iraq
1996,Iraq
2003,Iraq
2004,Iraq
2005,Iraq
2006,Iraq
2007,Iraq
2008,Iraq
2009,Iraq
2010,Iraq
2011,Iraq
2012,Iraq
2013,Iraq
1946,Israel
1948,Israel
1949,Israel
1950,Israel
1951,Israel
1952,Israel
1953,Israel
1954,Israel
1955,Israel
1956,Israel
1957,Israel
1958,Israel
1959,Israel
1960,Israel
1961,Israel
1962,Israel
1963,Israel
1964,Israel
1965,Israel
1966,Israel
1967,Israel
1968,Israel
1969,Israel
1970,Israel
1971,Israel
1972,Israel
1973,Israel
1974,Israel
1975,Israel
1976,Israel
1977,Israel
1978,Israel
1979,Israel
1980,Israel
1981,Israel
1982,Israel
1983,Israel
1984,Israel
1985,Israel
1986,Israel
1987,Israel
1988,Israel
1989,Israel
1990,Israel
1991,Israel
1992,Israel
1993,Israel
1994,Israel
1995,Israel
1996,Israel
1997,Israel
1998,Israel
1999,Israel
2000,Israel
2001,Israel
2002,Israel
2003,Israel
2004,Israel
2005,Israel
2006,Israel
2007,Israel
2008,Israel
2009,Israel
2010,Israel
2011,Israel
2012,Israel
2002,Ivory Coast
2003,Ivory Coast
2004,Ivory Coast
2011,Ivory Coast
1948,Jordan
1949,Jordan
1967,Jordan
1952,Kenya
1953,Kenya
1954,Kenya
1955,Kenya
1956,Kenya
1982,Kenya
1990,Kuwait
1991,Kuwait
1946,Laos
1947,Laos
1948,Laos
1949,Laos
1950,Laos
1951,Laos
1952,Laos
1953,Laos
1959,Laos
1960,Laos
1961,Laos
1963,Laos
1964,Laos
1965,Laos
1966,Laos
1967,Laos
1968,Laos
1969,Laos
1970,Laos
1971,Laos
1972,Laos
1973,Laos
1986,Laos
1987,Laos
1988,Laos
1989,Laos
1990,Laos
1948,Lebanon
1949,Lebanon
1958,Lebanon
1975,Lebanon
1976,Lebanon
1982,Lebanon
1983,Lebanon
1984,Lebanon
1985,Lebanon
1986,Lebanon
1989,Lebanon
1990,Lebanon
1998,Lesotho
1980,Liberia
1989,Liberia
1990,Liberia
2000,Liberia
2001,Liberia
2002,Liberia
2003,Liberia
1987,Libya
2011,Libya
2001,Macedonia
1947,Madagascar
1971,Madagascar
1948,Malaysia
1949,Malaysia
1950,Malaysia
1951,Malaysia
1952,Malaysia
1953,Malaysia
1954,Malaysia
1955,Malaysia
1956,Malaysia
1957,Malaysia
1958,Malaysia
1959,Malaysia
1960,Malaysia
1963,Malaysia
1964,Malaysia
1965,Malaysia
1966,Malaysia
1974,Malaysia
1975,Malaysia
1981,Malaysia
2013,Malaysia
1985,Mali
1990,Mali
1994,Mali
2007,Mali
2008,Mali
2009,Mali
2012,Mali
2013,Mali
1957,Mauritania
1958,Mauritania
1975,Mauritania
1976,Mauritania
1977,Mauritania
1978,Mauritania
2010,Mauritania
2011,Mauritania
1994,Mexico
1996,Mexico
1992,Moldova
1953,Morocco
1954,Morocco
1955,Morocco
1956,Morocco
1957,Morocco
1958,Morocco
1963,Morocco
1971,Morocco
1975,Morocco
1976,Morocco
1977,Morocco
1978,Morocco
1979,Morocco
1980,Morocco
1981,Morocco
1982,Morocco
1983,Morocco
1984,Morocco
1985,Morocco
1986,Morocco
1987,Morocco
1988,Morocco
1989,Morocco
1964,Mozambique
1965,Mozambique
1966,Mozambique
1967,Mozambique
1968,Mozambique
1969,Mozambique
1970,Mozambique
1971,Mozambique
1972,Mozambique
1973,Mozambique
1974,Mozambique
1977,Mozambique
1978,Mozambique
1979,Mozambique
1980,Mozambique
1981,Mozambique
1982,Mozambique
1983,Mozambique
1984,Mozambique
1985,Mozambique
1986,Mozambique
1987,Mozambique
1988,Mozambique
1989,Mozambique
1990,Mozambique
1991,Mozambique
1992,Mozambique
2013,Mozambique
1948,Myanmar (Burma)
1949,Myanmar (Burma)
1950,Myanmar (Burma)
1951,Myanmar (Burma)
1952,Myanmar (Burma)
1953,Myanmar (Burma)
1954,Myanmar (Burma)
1955,Myanmar (Burma)
1956,Myanmar (Burma)
1957,Myanmar (Burma)
1958,Myanmar (Burma)
1959,Myanmar (Burma)
1960,Myanmar (Burma)
1961,Myanmar (Burma)
1962,Myanmar (Burma)
1963,Myanmar (Burma)
1964,Myanmar (Burma)
1965,Myanmar (Burma)
1966,Myanmar (Burma)
1967,Myanmar (Burma)
1968,Myanmar (Burma)
1969,Myanmar (Burma)
1970,Myanmar (Burma)
1971,Myanmar (Burma)
1972,Myanmar (Burma)
1973,Myanmar (Burma)
1974,Myanmar (Burma)
1975,Myanmar (Burma)
1976,Myanmar (Burma)
1977,Myanmar (Burma)
1978,Myanmar (Burma)
1979,Myanmar (Burma)
1980,Myanmar (Burma)
1981,Myanmar (Burma)
1982,Myanmar (Burma)
1983,Myanmar (Burma)
1984,Myanmar (Burma)
1985,Myanmar (Burma)
1986,Myanmar (Burma)
1987,Myanmar (Burma)
1988,Myanmar (Burma)
1989,Myanmar (Burma)
1990,Myanmar (Burma)
1991,Myanmar (Burma)
1992,Myanmar (Burma)
1993,Myanmar (Burma)
1994,Myanmar (Burma)
1995,Myanmar (Burma)
1996,Myanmar (Burma)
1997,Myanmar (Burma)
1998,Myanmar (Burma)
1999,Myanmar (Burma)
2000,Myanmar (Burma)
2001,Myanmar (Burma)
2002,Myanmar (Burma)
2003,Myanmar (Burma)
2004,Myanmar (Burma)
2005,Myanmar (Burma)
2006,Myanmar (Burma)
2007,Myanmar (Burma)
2008,Myanmar (Burma)
2009,Myanmar (Burma)
2010,Myanmar (Burma)
2011,Myanmar (Burma)
2012,Myanmar (Burma)
2013,Myanmar (Burma)
1960,Nepal
1961,Nepal
1962,Nepal
1996,Nepal
1997,Nepal
1998,Nepal
1999,Nepal
2000,Nepal
2001,Nepal
2002,Nepal
2003,Nepal
2004,Nepal
2005,Nepal
2006,Nepal
1962,Netherlands
1957,Nicaragua
1977,Nicaragua
1978,Nicaragua
1979,Nicaragua
1982,Nicaragua
1983,Nicaragua
1984,Nicaragua
1985,Nicaragua
1986,Nicaragua
1987,Nicaragua
1988,Nicaragua
1989,Nicaragua
1990,Nicaragua
1991,Niger
1992,Niger
1994,Niger
1995,Niger
1997,Niger
2007,Niger
2008,Niger
1966,Nigeria
1967,Nigeria
1968,Nigeria
1969,Nigeria
1970,Nigeria
1983,Nigeria
1996,Nigeria
2004,Nigeria
2009,Nigeria
2011,Nigeria
2012,Nigeria
2013,Nigeria
1949,North Korea
1950,North Korea
1951,North Korea
1952,North Korea
1953,North Korea
1957,Oman
1969,Oman
1970,Oman
1971,Oman
1972,Oman
1973,Oman
1974,Oman
1975,Oman
1948,Pakistan
1964,Pakistan
1965,Pakistan
1971,Pakistan
1974,Pakistan
1975,Pakistan
1976,Pakistan
1977,Pakistan
1984,Pakistan
1987,Pakistan
1989,Pakistan
1990,Pakistan
1991,Pakistan
1992,Pakistan
1994,Pakistan
1995,Pakistan
1996,Pakistan
1997,Pakistan
1998,Pakistan
1999,Pakistan
2000,Pakistan
2001,Pakistan
2002,Pakistan
2003,Pakistan
2004,Pakistan
2006,Pakistan
2007,Pakistan
2008,Pakistan
2009,Pakistan
2010,Pakistan
2011,Pakistan
2012,Pakistan
2013,Pakistan
1989,Panama
1990,Papua New Guinea
1992,Papua New Guinea
1993,Papua New Guinea
1994,Papua New Guinea
1995,Papua New Guinea
1996,Papua New Guinea
1947,Paraguay
1954,Paraguay
1989,Paraguay
1965,Peru
1982,Peru
1983,Peru
1984,Peru
1985,Peru
1986,Peru
1987,Peru
1988,Peru
1989,Peru
1990,Peru
1991,Peru
1992,Peru
1993,Peru
1994,Peru
1995,Peru
1996,Peru
1997,Peru
1998,Peru
1999,Peru
2007,Peru
2008,Peru
2009,Peru
2010,Peru
1946,Philippines
1947,Philippines
1948,Philippines
1949,Philippines
1950,Philippines
1951,Philippines
1952,Philippines
1953,Philippines
1954,Philippines
1969,Philippines
1970,Philippines
1971,Philippines
1972,Philippines
1973,Philippines
1974,Philippines
1975,Philippines
1976,Philippines
1977,Philippines
1978,Philippines
1979,Philippines
1980,Philippines
1981,Philippines
1982,Philippines
1983,Philippines
1984,Philippines
1985,Philippines
1986,Philippines
1987,Philippines
1988,Philippines
1989,Philippines
1990,Philippines
1991,Philippines
1992,Philippines
1993,Philippines
1994,Philippines
1995,Philippines
1996,Philippines
1997,Philippines
1998,Philippines
1999,Philippines
2000,Philippines
2001,Philippines
2002,Philippines
2003,Philippines
2004,Philippines
2005,Philippines
2006,Philippines
2007,Philippines
2008,Philippines
2009,Philippines
2010,Philippines
2011,Philippines
2012,Philippines
2013,Philippines
1989,Rumania
1946,Russia (Soviet Union)
1947,Russia (Soviet Union)
1948,Russia (Soviet Union)
1949,Russia (Soviet Union)
1950,Russia (Soviet Union)
1956,Russia (Soviet Union)
1969,Russia (Soviet Union)
1979,Russia (Soviet Union)
1990,Russia (Soviet Union)
1991,Russia (Soviet Union)
1993,Russia (Soviet Union)
1994,Russia (Soviet Union)
1995,Russia (Soviet Union)
1996,Russia (Soviet Union)
1999,Russia (Soviet Union)
2000,Russia (Soviet Union)
2001,Russia (Soviet Union)
2002,Russia (Soviet Union)
2003,Russia (Soviet Union)
2004,Russia (Soviet Union)
2005,Russia (Soviet Union)
2006,Russia (Soviet Union)
2007,Russia (Soviet Union)
2008,Russia (Soviet Union)
2009,Russia (Soviet Union)
2010,Russia (Soviet Union)
2011,Russia (Soviet Union)
2012,Russia (Soviet Union)
2013,Russia (Soviet Union)
1990,Rwanda
1991,Rwanda
1992,Rwanda
1993,Rwanda
1994,Rwanda
1996,Rwanda
1997,Rwanda
1998,Rwanda
1999,Rwanda
2000,Rwanda
2001,Rwanda
2002,Rwanda
2009,Rwanda
2010,Rwanda
2011,Rwanda
2012,Rwanda
1979,Saudi Arabia
1990,Senegal
1992,Senegal
1993,Senegal
1995,Senegal
1997,Senegal
1998,Senegal
2000,Senegal
2001,Senegal
2003,Senegal
2011,Senegal
1991,Serbia
1998,Serbia
1999,Serbia
1991,Sierra Leone
1992,Sierra Leone
1993,Sierra Leone
1994,Sierra Leone
1995,Sierra Leone
1996,Sierra Leone
1997,Sierra Leone
1998,Sierra Leone
1999,Sierra Leone
2000,Sierra Leone
2001,Sierra Leone
1982,Somalia
1983,Somalia
1984,Somalia
1986,Somalia
1987,Somalia
1988,Somalia
1989,Somalia
1990,Somalia
1991,Somalia
1992,Somalia
1993,Somalia
1994,Somalia
1995,Somalia
1996,Somalia
2001,Somalia
2002,Somalia
2006,Somalia
2007,Somalia
2008,Somalia
2009,Somalia
2010,Somalia
2011,Somalia
2012,Somalia
2013,Somalia
1966,South Africa
1967,South Africa
1968,South Africa
1969,South Africa
1970,South Africa
1971,South Africa
1972,South Africa
1973,South Africa
1974,South Africa
1975,South Africa
1976,South Africa
1977,South Africa
1978,South Africa
1979,South Africa
1980,South Africa
1981,South Africa
1982,South Africa
1983,South Africa
1984,South Africa
1985,South Africa
1986,South Africa
1987,South Africa
1988,South Africa
1949,South Korea
1950,South Korea
1951,South Korea
1952,South Korea
1953,South Korea
2011,South Sudan
2012,South Sudan
2013,South Sudan
1955,South Vietnam
1956,South Vietnam
1957,South Vietnam
1958,South Vietnam
1959,South Vietnam
1960,South Vietnam
1961,South Vietnam
1962,South Vietnam
1963,South Vietnam
1964,South Vietnam
1964,South Yemen
1965,South Yemen
1966,South Yemen
1967,South Yemen
1972,South Yemen
1979,South Yemen
1986,South Yemen
1978,Spain
1979,Spain
1980,Spain
1981,Spain
1982,Spain
1985,Spain
1986,Spain
1987,Spain
1991,Spain
1971,Sri Lanka
1984,Sri Lanka
1985,Sri Lanka
1986,Sri Lanka
1987,Sri Lanka
1988,Sri Lanka
1989,Sri Lanka
1990,Sri Lanka
1991,Sri Lanka
1992,Sri Lanka
1993,Sri Lanka
1994,Sri Lanka
1995,Sri Lanka
1996,Sri Lanka
1997,Sri Lanka
1998,Sri Lanka
1999,Sri Lanka
2000,Sri Lanka
2001,Sri Lanka
2003,Sri Lanka
2005,Sri Lanka
2006,Sri Lanka
2007,Sri Lanka
2008,Sri Lanka
2009,Sri Lanka
1963,Sudan
1964,Sudan
1965,Sudan
1966,Sudan
1967,Sudan
1968,Sudan
1969,Sudan
1970,Sudan
1971,Sudan
1972,Sudan
1976,Sudan
1983,Sudan
1984,Sudan
1985,Sudan
1986,Sudan
1987,Sudan
1988,Sudan
1989,Sudan
1990,Sudan
1991,Sudan
1992,Sudan
1993,Sudan
1994,Sudan
1995,Sudan
1996,Sudan
1997,Sudan
1998,Sudan
1999,Sudan
2000,Sudan
2001,Sudan
2002,Sudan
2003,Sudan
2004,Sudan
2005,Sudan
2006,Sudan
2007,Sudan
2008,Sudan
2009,Sudan
2010,Sudan
2011,Sudan
2012,Sudan
2013,Sudan
1987,Suriname
1948,Syria
1949,Syria
1966,Syria
1967,Syria
1973,Syria
1979,Syria
1980,Syria
1981,Syria
1982,Syria
2011,Syria
2012,Syria
2013,Syria
1949,Taiwan
1950,Taiwan
1954,Taiwan
1958,Taiwan
1992,Tajikistan
1993,Tajikistan
1994,Tajikistan
1995,Tajikistan
1996,Tajikistan
1997,Tajikistan
1998,Tajikistan
2000,Tajikistan
2010,Tajikistan
2011,Tajikistan
1978,Tanzania
1946,Thailand
1951,Thailand
1974,Thailand
1975,Thailand
1976,Thailand
1977,Thailand
1978,Thailand
1979,Thailand
1980,Thailand
1981,Thailand
1982,Thailand
1986,Thailand
1987,Thailand
1988,Thailand
2003,Thailand
2004,Thailand
2005,Thailand
2006,Thailand
2007,Thailand
2008,Thailand
2009,Thailand
2010,Thailand
2011,Thailand
2012,Thailand
2013,Thailand
1986,Togo
1990,Trinidad and Tobago
1953,Tunisia
1954,Tunisia
1955,Tunisia
1956,Tunisia
1961,Tunisia
1980,Tunisia
1974,Turkey
1984,Turkey
1985,Turkey
1986,Turkey
1987,Turkey
1988,Turkey
1989,Turkey
1990,Turkey
1991,Turkey
1992,Turkey
1993,Turkey
1994,Turkey
1995,Turkey
1996,Turkey
1997,Turkey
1998,Turkey
1999,Turkey
2000,Turkey
2001,Turkey
2002,Turkey
2003,Turkey
2004,Turkey
2005,Turkey
2006,Turkey
2007,Turkey
2008,Turkey
2009,Turkey
2010,Turkey
2011,Turkey
2012,Turkey
2013,Turkey
1971,Uganda
1972,Uganda
1974,Uganda
1978,Uganda
